"","GMCF_2615_053","GMCF_2615_054","GMCF_2615_055","GMCF_2615_057","GMCF_2615_058","GMCF_2615_059","GMCF_2615_060","GMCF_2615_061","GMCF_2615_062","GMCF_2615_063","GMCF_2615_064","GMCF_2615_065","GMCF_2615_066","GMCF_2615_068","GMCF_2615_120","GMCF_2615_121","GMCF_2615_122","GMCF_2615_123","GMCF_2615_124","GMCF_2615_125","GMCF_2615_126","GMCF_2615_127","GMCF_2615_128","GMCF_2615_129","GMCF_2615_130","GMCF_2615_131","GMCF_2615_132","GMCF_2615_133","GMCF_2615_135"
"Rutstroemiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sclerotiniaceae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Helotiales",0,98,0,1,0,0,72,65,86,82,0,0,85,0,0,0,0,2,0,0,0,358,0,36,74,1,2,0,0
"Tympanidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudeurotiaceae",72,1,1,0,0,0,175,2,66,4,1,0,0,0,0,0,0,0,0,0,0,292,0,2,57,0,0,0,0
"Scytalidium (no family in NCBI)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Leotiomycetes",51,5,0,0,0,0,193,13,11,12,0,0,2,0,0,0,0,0,0,0,0,295,0,8,40,0,1,1,0
"Xylogone (no family in NCBI)",0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0
"Pyronemataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaporthaceae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unclassified Diaporthales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glomerellaceae",0,0,0,0,0,0,777,2,820,0,0,0,0,0,0,0,0,1,0,0,0,2041,0,1141,0,0,0,0,0
"Unclassified Glomerellales",0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0
"Bionectriaceae",0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0
